Title,Year,Duration,IMDB_Rating,Genres
Les Évadés,1994,2h 22min,"9,3","Epic, Period Drama, Prison Drama, Drama"
The Dark Knight : Le Chevalier noir,2008,2h 32min,"9,0","Action Epic, Epic, Superhero, Action, Crime, Drama, Thriller"
Inception,2010,2h 28min,"8,8","Action Epic, Adventure Epic, Psychological Thriller, Sci-Fi Epic, Action, Adventure, Sci-Fi, Thriller"
Fight Club,1999,2h 19min,"8,8","Psychological Drama, Workplace Drama, Drama"
Forrest Gump,1994,2h 22min,"8,8","Epic, Drama, Romance"
Pulp Fiction,1994,2h 34min,"8,9","Dark Comedy, Drug Crime, Gangster, Crime, Drama"
Interstellar,2014,2h 49min,"8,7","Adventure Epic, Epic, Quest, Sci-Fi Epic, Space Sci-Fi, Adventure, Drama, Sci-Fi"
Matrix,1999,2h 16min,"8,7","Action Epic, Artificial Intelligence, Cyberpunk, Dystopian Sci-Fi, Gun Fu, Martial Arts, Sci-Fi Epic, Action, Sci-Fi"
Le Parrain,1972,2h 55min,"9,2","Epic, Gangster, Tragedy, Crime, Drama"
Le Seigneur des anneaux : La Communauté de l'anneau,2001,2h 58min,"8,9","Adventure Epic, Epic, Fantasy Epic, Quest, Sword & Sorcery, Adventure, Drama, Fantasy"
Le Seigneur des anneaux : Le Retour du roi,2003,3h 21min,"9,0","Adventure Epic, Epic, Fantasy Epic, Mountain Adventure, Quest, Sword & Sorcery, Tragedy, Adventure, Drama, Fantasy"
The Dark Knight Rises,2012,2h 44min,"8,4","Action Epic, Epic, Superhero, Action, Drama, Thriller"
Seven,1995,2h 7min,"8,6","Cop Drama, Hard-boiled Detective, Legal Drama, Police Procedural, Psychological Thriller, Serial Killer, Crime, Drama, Mystery, Thriller"
Le Seigneur des anneaux : Les Deux Tours,2002,2h 59min,"8,8","Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Quest, Sword & Sorcery, Adventure, Drama, Fantasy"
Django Unchained,2012,2h 45min,"8,5","Dark Comedy, Epic, Period Drama, Western Epic, Comedy, Drama, Western"
Gladiator,2000,2h 35min,"8,5","Action Epic, Adventure Epic, Epic, Period Drama, Sword & Sandal, Action, Adventure, Drama"
Le Loup de Wall Street,2013,3h,"8,2","Dark Comedy, Docudrama, Epic, Satire, True Crime, Biography, Comedy, Crime, Drama, Financial Drama"
Inglourious Basterds,2009,2h 33min,"8,4","Dark Comedy, Period Drama, Adventure, Drama, War"
Batman Begins,2005,2h 20min,"8,2","Action Epic, Epic, Superhero, Tragedy, Action, Drama"
Le Silence des agneaux,1991,1h 58min,"8,6","Police Procedural, Psychological Drama, Psychological Thriller, Serial Killer, Crime, Drama, Thriller"
Joker,2019,2h 2min,"8,4","Psychological Drama, Psychological Thriller, Tragedy, Crime, Drama, Thriller"
Il faut sauver le soldat Ryan,1998,2h 49min,"8,6","Epic, War Epic, Drama, War"
Shutter Island,2010,2h 18min,"8,2","Psychological Thriller, Suspense Mystery, Drama, Mystery, Thriller"
La Liste de Schindler,1993,3h 15min,"9,0","Docudrama, Epic, Historical Epic, Period Drama, Prison Drama, Biography, Drama, History"
Avengers,2012,2h 23min,"8,0","Action Epic, Alien Invasion, Superhero, Action, Sci-Fi"
Star Wars: Épisode IV - Un nouvel espoir,1977,2h 1min,"8,6","Action Epic, Adventure Epic, Fantasy Epic, Quest, Sci-Fi Epic, Space Sci-Fi, Sword & Sorcery, Action, Adventure, Fantasy"
Le Prestige,2006,2h 10min,"8,5","Period Drama, Steampunk, Tragedy, Drama, Mystery, Sci-Fi, Thriller"
Les Infiltrés,2006,2h 31min,"8,5","Cop Drama, Epic, Gangster, Crime, Drama, Thriller"
La Ligne verte,1999,3h 9min,"8,6","Period Drama, Prison Drama, Supernatural Fantasy, Tragedy, Crime, Drama, Fantasy, Mystery"
L'Empire contre-attaque,1980,2h 4min,"8,7","Action Epic, Adventure Epic, Dark Fantasy, Fantasy Epic, Quest, Sci-Fi Epic, Space Sci-Fi, Sword & Sorcery, Action, Adventure"
Avatar,2009,2h 42min,"7,9","Adventure Epic, Fantasy Epic, Sci-Fi Epic, Action, Adventure, Fantasy, Sci-Fi"
"Le Parrain, 2ᵉ partie",1974,3h 22min,"9,0","Epic, Gangster, Tragedy, Crime, Drama"
Memento,2000,1h 53min,"8,4","Psychological Thriller, Suspense Mystery, Mystery, Thriller"
